code,regency_code,coordinate,is_populated,is_outermost_small,name
210440560,2104,00°21'29.84" S 104°09'57.42" E,0,0,Pulau Tanjungkeramat
210440561,2104,00°07'15.99" N 104°29'34.72" E,1,0,Pulau Tanjunglipat
210440562,2104,00°29'49.02" S 104°34'52.23" E,0,0,Pulau Tanjungputus
210440563,2104,00°10'24.16" N 104°28'29.13" E,0,0,Pulau Tapai
210440564,2104,00°07'14.48" N 104°27'31.42" E,1,0,Pulau Tapai
210440565,2104,00°39'22.42" S 104°20'16.83" E,0,0,Pulau Tebakar
210440566,2104,00°17'09.91" S 104°23'37.35" E,0,0,Pulau Tebingtinggi
210440567,2104,00°18'06.77" N 104°19'24.51" E,0,0,Pulau Tekeras
210440568,2104,00°17'32.64" N 104°24'37.15" E,0,0,Pulau Tekil
210440569,2104,00°15'47.88" N 104°22'29.42" E,1,0,Pulau Tekoli
210440570,2104,00°16'45.01" N 104°23'35.12" E,0,0,Pulau Tekuluk
210440571,2104,00°16'35.00" N 104°23'22.74" E,0,0,Pulau Tekuluk Barat
210440572,2104,00°10'49.83" N 104°21'12.67" E,0,0,Pulau Telimbung
210440573,2104,00°11'11.60" S 104°46'48.51" E,0,0,Pulau Telom
210440574,2104,00°16'33.78" N 104°26'53.70" E,0,0,Pulau Telor Besar
210440575,2104,00°16'14.74" N 104°26'57.56" E,0,0,Pulau Telor Kecik
210440576,2104,01°16'18.59" S 105°15'57.10" E,0,0,Pulau Telukpasang
210440577,2104,00°22'47.34" N 104°18'30.17" E,0,0,Pulau Tembuan
210440578,2104,00°19'43.60" N 104°22'32.34" E,1,0,Pulau Temiang
210440579,2104,00°06'27.07" N 104°32'14.92" E,0,0,Pulau Tempak
210440580,2104,00°30'16.90" S 104°02'28.80" E,0,0,Pulau Tempurung
210440581,2104,00°40'56.28" S 104°29'08.00" E,0,0,Pulau Tenang Besar
210440582,2104,00°40'55.52" S 104°29'11.76" E,0,0,Pulau Tenang Kecik
210440583,2104,00°15'51.30" N 104°18'19.08" E,0,0,Pulau Tengah
210440584,2104,00°20'13.63" S 104°30'36.72" E,0,0,Pulau Tengah
210440585,2104,00°40'04.86" S 104°20'53.44" E,0,0,Pulau Tengah
210440586,2104,00°41'39.40" S 104°28'26.65" E,0,0,Pulau Tengahlalang
210440587,2104,00°16'41.84" N 104°24'53.42" E,0,0,Pulau Terayun
210440588,2104,00°22'44.40" N 104°25'16.57" E,1,0,Pulau Tereh
210440589,2104,00°07'04.63" N 104°23'53.23" E,0,0,Pulau Terong
210440590,2104,00°07'06.22" S 104°54'23.29" E,0,0,Pulau Terumbucawan
210440591,2104,00°16'02.69" S 104°30'01.54" E,0,0,Pulau Tiga Besar
210440592,2104,00°15'54.17" S 104°29'52.23" E,0,0,Pulau Tiga Kecik
210440593,2104,00°15'59.05" S 104°29'52.21" E,0,0,Pulau Tiga Tengah
210440594,2104,00°09'13.71" N 104°26'01.00" E,0,0,Pulau Tigi
210440595,2104,00°12'27.50" N 104°22'29.64" E,0,0,Pulau Tikus
210440596,2104,00°10'00.30" S 104°45'28.96" E,0,0,Pulau Tikus
210440597,2104,00°41'58.38" S 104°29'32.71" E,0,0,Pulau Tikussingkep Laut
210440598,2104,00°42'04.25" S 104°29'46.37" E,0,0,Pulau Tikussingkep Laut Kecil
210440599,2104,00°18'01.08" N 104°26'20.17" E,0,0,Pulau Tinjul
210440600,2104,00°26'45.88" N 104°23'02.00" E,0,0,Pulau Titampan
210440601,2104,00°30'40.86" S 104°02'10.82" E,0,0,Pulau Tokongbatuampar
210440602,2104,00°00'40.14" S 104°49'31.48" E,0,0,Pulau Tokongbelading
210440603,2104,00°30'40.42" S 104°02'09.94" E,0,0,Pulau Tokongcamar
210440604,2104,01°12'44.20" S 105°13'24.16" E,0,0,Pulau Tokonghiu
210440605,2104,01°12'52.20" S 105°13'23.20" E,0,0,Pulau Tokonghiu Kecil
210440606,2104,00°40'27.39" S 104°15'01.76" E,0,0,Pulau Tokongmandidarat
210440607,2104,00°40'28.01" S 104°15'14.31" E,0,0,Pulau Tokongmandilaut
210440608,2104,00°35'43.45" S 104°19'12.45" E,0,0,Pulau Tokongnaboi
210440609,2104,00°35'47.25" S 104°19'14.91" E,0,0,Pulau Tokongnaboi Besar
210440610,2104,00°31'52.91" S 104°01'47.00" E,0,0,Pulau Tokongperpat
210440611,2104,00°31'50.56" S 104°01'46.91" E,0,0,Pulau Tokongperpat Kecil
210440612,2104,00°48'19.29" S 104°26'28.71" E,0,0,Pulau Tokongpollux
210440613,2104,00°35'39.71" S 104°19'15.89" E,0,0,Pulau Tokongtengah
210440614,2104,00°22'24.79" N 104°16'46.44" E,0,0,Pulau Tukat Darat
210440615,2104,00°21'58.46" N 104°16'51.24" E,0,0,Pulau Tukat Laut
210440616,2104,00°24'53.90" N 104°15'53.91" E,0,0,Pulau Tukil
210440617,2104,01°10'09.87" S 105°18'56.57" E,0,0,Pulau Tukunglina
210440618,2104,00°22'37.63" S 104°15'52.52" E,0,0,Pulau Tuma
210440619,2104,00°05'19.09" N 104°37'07.96" E,0,0,Pulau Tumu
210440620,2104,00°09'31.78" N 104°11'29.36" E,0,0,Pulau Turka
210440621,2104,00°07'31.80" S 104°44'42.00" E,1,0,Pulau Ujungbeting
210440622,2104,00°03'36.03" N 104°30'58.50" E,0,0,Pulau Ujungbuli
210440623,2104,00°05'24.75" N 104°32'44.80" E,1,0,Pulau Ujungkayu
210440624,2104,00°23'22.99" N 104°17'53.44" E,0,0,Pulau Ujungkebat
210440625,2104,00°39'45.72" S 104°13'40.69" E,0,0,Pulau Ukol
210440626,2104,00°21'13.84" S 104°24'51.92" E,0,0,Pulau Ulu
210440627,2104,00°16'28.77" N 104°25'16.71" E,0,0,Pulau Unggal
210440628,2104,00°10'25.91" N 104°28'01.24" E,0,0,Pulau Utantinggi
210540001,2105,03°01'10.69" N 106°24'04.76" E,0,0,Batu Akar
210540002,2105,03°15'23.00" N 106°18'04.00" E,0,0,Pulau Airasuk
210540003,2105,03°01'25.00" N 106°24'17.00" E,0,0,Pulau Akar
210540004,2105,03°06'41.00" N 105°41'04.00" E,0,0,Pulau Anak
210540005,2105,03°00'14.00" N 105°48'30.00" E,0,0,Pulau Ayam
210540006,2105,03°07'38.00" N 106°19'00.00" E,1,0,Pulau Bajau
210540007,2105,03°07'00.25" N 105°40'08.62" E,0,0,Pulau Baju
210540008,2105,03°02'32.00" N 106°23'33.00" E,0,0,Pulau Bate
210540009,2105,03°03'03.92" N 106°22'05.79" E,0,0,Pulau Batu Laki
210540010,2105,03°03'15.05" N 106°19'54.68" E,0,0,Pulau Batuabang Barat
210540011,2105,03°11'46.00" N 106°17'51.00" E,1,0,Pulau Batubelah
210540012,2105,02°48'38.32" N 105°44'12.28" E,0,0,Pulau Batubow
210540013,2105,03°21'57.00" N 106°20'04.00" E,0,0,Pulau Batugaram
210540014,2105,03°03'51.56" N 105°41'16.78" E,0,0,Pulau Batugiu
210540015,2105,03°04'21.32" N 105°36'52.00" E,0,0,Pulau Batugumai
210540016,2105,03°05'23.28" N 106°20'33.30" E,1,0,Pulau Batuhitam
210540017,2105,03°08'42.43" N 106°24'03.89" E,0,0,Pulau Batukado
210540018,2105,03°02'03.57" N 106°22'24.11" E,0,0,Pulau Batulaki
210540019,2105,03°19'43.44" N 106°02'04.26" E,0,0,Pulau Batumamong
210540020,2105,03°02'58.62" N 105°44'21.70" E,0,0,Pulau Batumencari
210540021,2105,03°07'47.01" N 106°25'31.04" E,0,0,Pulau Batupunjung Selatan
210540022,2105,02°42'32.56" N 106°16'28.69" E,0,0,Pulau Batuputih
210540023,2105,03°10'30.45" N 106°26'56.11" E,0,0,Pulau Batutelokrisan Timur
210540024,2105,03°04'32.79" N 106°16'25.33" E,0,0,Pulau Batutikus
210540025,2105,03°21'38.00" N 106°18'58.00" E,0,0,Pulau Batutumpik
210540026,2105,02°31'05.00" N 106°02'48.00" E,0,0,Pulau Bawah
210540027,2105,03°18'45.00" N 106°18'22.00" E,1,0,Pulau Belibak
210540028,2105,03°01'15.28" N 105°41'40.39" E,0,0,Pulau Bembang
210540029,2105,02°58'58.00" N 105°46'14.00" E,0,0,Pulau Berangan
210540030,2105,03°04'23.99" N 106°17'17.00" E,0,0,Pulau Berhala
210540031,2105,02°59'22.42" N 105°41'52.10" E,0,0,Pulau Berhala
210540032,2105,03°02'38.00" N 106°22'50.00" E,0,0,Pulau Boboh
210540033,2105,03°00'00.00" N 106°14'39.99" E,0,0,Pulau Buan
210540034,2105,03°05'33.00" N 105°38'29.00" E,0,0,Pulau Busuk
210540035,2105,03°13'45.00" N 106°28'19.99" E,0,0,Pulau Busung
210540036,2105,03°02'03.00" N 105°57'05.00" E,0,0,Pulau Buton
210540037,2105,02°43'09.99" N 106°16'49.00" E,0,0,Pulau Butun
210540038,2105,03°03'48.91" N 105°41'19.75" E,0,0,Pulau Candi
210540039,2105,03°07'23.00" N 106°25'50.99" E,0,0,Pulau Catok
210540040,2105,03°00'58.37" N 106°23'44.30" E,0,0,Pulau Catuk
